percentCoverage,basisofrecord,country,class,countryCode,totalSpeciesWith10Images,totalSpeciesInCountry
96.1699164345404,HUMAN_OBSERVATION,Australia,Aves,AU,1381,1436
90.4347826086957,HUMAN_OBSERVATION,Mexico,Aves,MX,1560,1725
80.3768115942029,HUMAN_OBSERVATION,United States,Aves,US,2773,3450
77.1799628942486,PRESERVED_SPECIMEN,Brazil,Polypodiopsida,BR,1664,2156
73.2623208325152,PRESERVED_SPECIMEN,Brazil,Magnoliopsida,BR,29850,40744
70.2799410650389,PRESERVED_SPECIMEN,United States,Liliopsida,US,6678,9502
62.6786353498362,PRESERVED_SPECIMEN,United States,Magnoliopsida,US,22763,36317
60.5712409717663,PRESERVED_SPECIMEN,Estonia,Magnoliopsida,EE,1845,3046
51.3939393939394,PRESERVED_SPECIMEN,Russia,Liliopsida,RU,1272,2475
48.8372093023256,PRESERVED_SPECIMEN,United States,Lecanoromycetes,US,2373,4859
48.254828871569,PRESERVED_SPECIMEN,United States,Bryopsida,US,1424,2951
48.2040229885057,PRESERVED_SPECIMEN,Canada,Liliopsida,CA,1342,2784
45.7916102841678,HUMAN_OBSERVATION,Denmark,Agaricomycetes,DK,1692,3695
42.757030889811,PRESERVED_SPECIMEN,Russia,Magnoliopsida,RU,4637,10845
41.806125670982,PRESERVED_SPECIMEN,Brazil,Liliopsida,BR,5296,12668
41.0839160839161,PRESERVED_SPECIMEN,Ukraine,Magnoliopsida,UA,1410,3432
36.8472267272138,PRESERVED_SPECIMEN,Puerto Rico,Magnoliopsida,PR,1136,3083
35.6159548182139,HUMAN_OBSERVATION,United States,Reptilia,US,1009,2833
34.6922246220302,PRESERVED_SPECIMEN,New Caledonia,Magnoliopsida,NC,1285,3704
34.4232278315459,PRESERVED_SPECIMEN,Kazakhstan,Magnoliopsida,KZ,1316,3823
33.4196106506595,HUMAN_OBSERVATION,United States,Magnoliopsida,US,12137,36317
29.7960237541957,HUMAN_OBSERVATION,Norway,Magnoliopsida,NO,1154,3873
29.2334724357566,PRESERVED_SPECIMEN,Canada,Magnoliopsida,CA,2662,9106
29.0909090909091,HUMAN_OBSERVATION,Norway,Agaricomycetes,NO,1136,3905
28.9601554907677,PRESERVED_SPECIMEN,Dominican Republic,Magnoliopsida,DO,1192,4116
28.3259911894273,HUMAN_OBSERVATION,New Zealand,Magnoliopsida,NZ,1929,6810
25.8262747051985,HUMAN_OBSERVATION,South Africa,Liliopsida,ZA,1555,6021
24.6855041610219,PRESERVED_SPECIMEN,Madagascar,Magnoliopsida,MG,2551,10334
24.656309377445,PRESERVED_SPECIMEN,United States,Agaricomycetes,US,2206,8947
23.7002736266049,HUMAN_OBSERVATION,United States,Liliopsida,US,2252,9502
23.2820187271862,PRESERVED_SPECIMEN,Cuba,Magnoliopsida,CU,1467,6301
22.1834652228238,HUMAN_OBSERVATION,South Africa,Magnoliopsida,ZA,4261,19208
20.9455683469319,HUMAN_OBSERVATION,United States,Agaricomycetes,US,1874,8947
19.9099494838568,HUMAN_OBSERVATION,Canada,Magnoliopsida,CA,1813,9106
18.3071161048689,PRESERVED_SPECIMEN,Cameroon,Magnoliopsida,CM,1222,6675
17.7177671661452,PRESERVED_SPECIMEN,Angola,Magnoliopsida,AO,1076,6073
17.1399045322573,PRESERVED_SPECIMEN,Peru,Magnoliopsida,PE,3483,20321
16.5469672189433,PRESERVED_SPECIMEN,France,Magnoliopsida,FR,2327,14063
16.266325691844,PRESERVED_SPECIMEN,Estonia,Insecta,EE,1781,10949
16.0236657216813,PRESERVED_SPECIMEN,Taiwan,Insecta,TW,1300,8113
15.9836993434458,PRESERVED_SPECIMEN,Turkey,Magnoliopsida,TR,1412,8834
14.6154350534391,HUMAN_OBSERVATION,Norway,Insecta,NO,2229,15251
14.5991270388238,PRESERVED_SPECIMEN,Mexico,Magnoliopsida,MX,3813,26118
12.9522431259045,PRESERVED_SPECIMEN,Venezuela,Magnoliopsida,VE,1790,13820
11.6480231873556,PRESERVED_SPECIMEN,Colombia,Magnoliopsida,CO,2572,22081
10.9752802917736,PRESERVED_SPECIMEN,Ecuador,Magnoliopsida,EC,1625,14806
10.2330434782609,PRESERVED_SPECIMEN,Spain,Magnoliopsida,ES,1471,14375
9.40695776731517,HUMAN_OBSERVATION,United States,Insecta,US,8012,85171
9.25902008899743,PRESERVED_SPECIMEN,United States,Insecta,US,7886,85171
9.08185925415422,HUMAN_OBSERVATION,Mexico,Magnoliopsida,MX,2372,26118
8.32282471626734,PRESERVED_SPECIMEN,Bolivia,Magnoliopsida,BO,1254,15067
7.57327388367976,PRESERVED_SPECIMEN,Norway,Insecta,NO,1155,15251
7.51416270111036,HUMAN_OBSERVATION,Australia,Magnoliopsida,AU,1658,22065
7.17878993881713,PRESERVED_SPECIMEN,Australia,Magnoliopsida,AU,1584,22065
7.10923953430765,HUMAN_OBSERVATION,Australia,Insecta,AU,2296,32296
6.77214431259739,HUMAN_OBSERVATION,Canada,Insecta,CA,1695,25029
6.74445547831844,PRESERVED_SPECIMEN,China,Magnoliopsida,CN,1630,24168
5.41961682632237,PRESERVED_SPECIMEN,South Africa,Magnoliopsida,ZA,1041,19208
5.32105577619232,HUMAN_OBSERVATION,Mexico,Insecta,MX,1514,28453
5.22593791202205,PRESERVED_SPECIMEN,Canada,Insecta,CA,1308,25029
4.66311617537776,PRESERVED_SPECIMEN,Australia,Insecta,AU,1506,32296
3.99606368397006,PRESERVED_SPECIMEN,Mexico,Insecta,MX,1137,28453
